"","word","freq","prob"
"one of the","one of the",710,0.0020343140063952
"a lot of","a lot of",585,0.00167616013202984
"thanks for the","thanks for the",492,0.00140969364950202
"to be a","to be a",346,0.000991369924243293
"out of the","out of the",323,0.000925469611360068
"it was a","it was a",308,0.000882491146436226
"the end of","the end of",308,0.000882491146436226
"i want to","i want to",296,0.000848108374497152
"going to be","going to be",295,0.000845243143502229
"as well as","as well as",290,0.000830916988527615
"be able to","be able to",266,0.000762151444649468
"some of the","some of the",258,0.000739229596690085
"looking forward to","looking forward to",229,0.000656137897837324
"i dont know","i dont know",226,0.000647542204852555
"part of the","part of the",220,0.000630350818883018
"a couple of","a couple of",219,0.000627485587888096
"i have to","i have to",217,0.00062175512589825
"this is a","this is a",215,0.000616024663908404
"thank you for","thank you for",211,0.000604563739928713
"i have a","i have a",198,0.000567315736994717
"there is a","there is a",197,0.000564450505999794
"the fact that","the fact that",196,0.000561585275004871
"you want to","you want to",196,0.000561585275004871
"cant wait to","cant wait to",193,0.000552989582020103
"to go to","to go to",193,0.000552989582020103
"i need to","i need to",188,0.000538663427045488
"end of the","end of the",185,0.00053006773406072
"is going to","is going to",185,0.00053006773406072
"it is a","it is a",184,0.000527202503065797
"the rest of","the rest of",184,0.000527202503065797
"at the end","at the end",182,0.000521472041075952
"im going to","im going to",182,0.000521472041075952
"one of my","one of my",182,0.000521472041075952
"you have to","you have to",179,0.000512876348091183
"in the first","in the first",177,0.000507145886101337
"dont want to","dont want to",173,0.000495684962121646
"for the follow","for the follow",172,0.000492819731126723
"i love you","i love you",169,0.000484224038141955
"the first time","the first time",169,0.000484224038141955
"if you are","if you are",164,0.000469897883167341
"in the world","in the world",162,0.000464167421177495
"is one of","is one of",161,0.000461302190182573
"there is no","there is no",160,0.00045843695918765
"it would be","it would be",158,0.000452706497197804
"this is the","this is the",158,0.000452706497197804
"all of the","all of the",157,0.000449841266202881
"of the day","of the day",157,0.000449841266202881
"to have a","to have a",151,0.000432649880233344
"i had to","i had to",150,0.000429784649238422
"according to the","according to the",149,0.000426919418243499
"of the year","of the year",149,0.000426919418243499
"i dont think","i dont think",148,0.000424054187248576
"want to be","want to be",148,0.000424054187248576
"most of the","most of the",147,0.000421188956253653
"back to the","back to the",145,0.000415458494263808
"i have been","i have been",145,0.000415458494263808
"i think i","i think i",144,0.000412593263268885
"in front of","in front of",144,0.000412593263268885
"the united states","the united states",144,0.000412593263268885
"you have a","you have a",143,0.000409728032273962
"would like to","would like to",142,0.000406862801279039
"for the first","for the first",139,0.000398267108294271
"i wanted to","i wanted to",138,0.000395401877299348
"are going to","are going to",135,0.000386806184314579
"to make a","to make a",135,0.000386806184314579
"to see the","to see the",135,0.000386806184314579
"a bit of","a bit of",134,0.000383940953319657
"to do with","to do with",132,0.000378210491329811
"we need to","we need to",132,0.000378210491329811
"to be the","to be the",131,0.000375345260334888
"have a great","have a great",130,0.000372480029339965
"was going to","was going to",130,0.000372480029339965
"i had a","i had a",129,0.000369614798345043
"to see you","to see you",129,0.000369614798345043
"it will be","it will be",128,0.00036674956735012
"if you have","if you have",123,0.000352423412375506
"to get a","to get a",123,0.000352423412375506
"i feel like","i feel like",121,0.00034669295038566
"in order to","in order to",121,0.00034669295038566
"of the most","of the most",121,0.00034669295038566
"i dont want","i dont want",120,0.000343827719390737
"you need to","you need to",120,0.000343827719390737
"i will be","i will be",119,0.000340962488395814
"in the s","in the s",119,0.000340962488395814
"as much as","as much as",118,0.000338097257400892
